,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
0,Ethereum-ETH,"$1,473.22",-7.29%,$33.6b,$6.7b,-5.66%,29.62%,0.20,+0.0045%,-0.0031%,$96.8m,2022-09-16 12:16:28.794092
1,Bitcoin-BTC,"$19,834.54",-1.58%,$24.6b,$9.5b,+0.08%,41.97%,0.39,+0.0021%,-0.0033%,$30.6m,2022-09-16 12:16:28.794092
2,Ethereum Classic-ETC,$34.19,-10.99%,$3.9b,$428.1m,-16.69%,1.90%,0.11,-0.1549%,-0.1553%,$11.6m,2022-09-16 12:16:28.794092
3,Cosmos-ATOM,$15.82,+7.90%,$1.5b,$182.6m,+42.39%,0.81%,0.12,-0.0152%,-0.0162%,$2.7m,2022-09-16 12:16:28.794092
4,Solana-SOL,$32.94,-2.69%,$1.2b,$390.4m,-0.87%,1.73%,0.33,+0.0081%,+0.0133%,$1.7m,2022-09-16 12:16:28.794092
5,Ravencoin-RVN,$0.0518,-17.05%,$906.1m,$61.8m,-10.81%,0.27%,0.07,+0.0079%,+0.0036%,$2.0m,2022-09-16 12:16:28.794092
6,Chiliz-CHZ,$0.2048,+6.25%,$706.4m,$90.6m,+25.24%,0.40%,0.13,+0.0002%,+0.0001%,$714.8k,2022-09-16 12:16:28.794092
7,EOS-EOS,$1.43,-1.78%,$664.8m,$155.6m,-2.28%,0.69%,0.23,-0.0080%,-0.0016%,$1.5m,2022-09-16 12:16:28.794092
8,LUNA2-LUNA2,$2.74,-5.77%,$636.5m,$38.2m,-16.68%,0.17%,0.06,-0.0770%,-0.0983%,$1.0m,2022-09-16 12:16:28.794092
9,Ripple-XRP,$0.3296,-1.59%,$608.7m,$303.9m,-3.34%,1.35%,0.50,-0.0001%,-0.0024%,$1.2m,2022-09-16 12:16:28.794092
10,1000LUNC-1000LUNC,$0.2739,-1.40%,$603.7m,$30.1m,+5.45%,0.13%,0.05,-0.0181%,-0.0110%,$1.3m,2022-09-16 12:16:28.794092
11,Cardano-ADA,$0.4648,-2.17%,$551.2m,$247.3m,-5.53%,1.10%,0.45,+0.0049%,-0.0010%,$752.6k,2022-09-16 12:16:28.794092
12,Litecoin-LTC,$55.95,-6.18%,$523.1m,$174.3m,-18.58%,0.77%,0.33,+0.0148%,+0.0019%,$1.4m,2022-09-16 12:16:28.794092
13,Binance Coin-BNB,$275.77,-0.07%,$521.3m,$255.4m,+3.95%,1.13%,0.49,-0.0094%,-0.0115%,$369.0k,2022-09-16 12:16:28.794092
14,Chainlink-LINK,$7.75,+5.84%,$517.4m,$117.7m,+14.62%,0.52%,0.23,+0.0101%,+0.0110%,$939.3k,2022-09-16 12:16:28.794092
15,Polygon-MATIC,$0.8181,-4.72%,$491.0m,$163.2m,-1.06%,0.72%,0.33,+0.0038%,-0.0085%,$1.1m,2022-09-16 12:16:28.794092
16,Avalanche-AVAX,$18.07,-4.68%,$430.7m,$131.9m,+3.34%,0.58%,0.31,-0.0090%,-0.0209%,$939.8k,2022-09-16 12:16:28.794092
17,Optimism-OP,$1.10,-8.81%,$384.2m,$57.4m,+0.16%,0.25%,0.15,+0.0072%,+0.0046%,$943.5k,2022-09-16 12:16:28.794092
18,STEPN-GMT,$0.6612,-0.86%,$354.6m,$95.2m,+1.87%,0.42%,0.27,+0.0050%,+0.0005%,$894.7k,2022-09-16 12:16:28.794092
19,Polkadot-DOT,$6.90,-2.83%,$339.8m,$246.4m,-2.16%,1.09%,0.73,-0.0020%,-0.0082%,$734.2k,2022-09-16 12:16:28.794092
20,ApeCoin-APE,$4.85,-5.30%,$324.5m,$72.4m,-6.72%,0.32%,0.22,-0.0003%,+0.0053%,$756.6k,2022-09-16 12:16:28.794092
21,Terra-LUNA,$2.74,-6.27%,$320.8m,$14.8m,-31.06%,0.07%,0.05,-0.0339%,-0.0907%,$1.1m,2022-09-16 12:16:28.794092
22,NEAR Protocol-NEAR,$4.23,-3.00%,$285.0m,$103.3m,+0.83%,0.46%,0.36,-0.0137%,-0.0184%,$597.9k,2022-09-16 12:16:28.794092
23,Dogecoin-DOGE,$0.0599,-1.18%,$261.0m,$118.9m,+0.23%,0.53%,0.46,+0.0049%,+0.0088%,$764.9k,2022-09-16 12:16:28.794092
24,Filecoin-FIL,$5.76,-1.74%,$244.4m,$105.4m,+1.91%,0.47%,0.43,+0.0128%,-0.0109%,$420.9k,2022-09-16 12:16:28.794092
25,Bitcoin Cash-BCH,$119.56,-0.72%,$233.0m,$156.3m,-4.21%,0.69%,0.67,-0.0042%,+0.0033%,$326.0k,2022-09-16 12:16:28.794092
26,Kyber Network Crystal-KNC,$1.93,-2.67%,$222.7m,$27.9m,-2.38%,0.12%,0.13,-0.0033%,-0.0007%,$327.0k,2022-09-16 12:16:28.794092
27,Terra Classic-LUNC,$0.0003,-0.58%,$222.2m,$38.1m,+1.73%,0.17%,0.17,-0.0160%,-0.0042%,$746.2k,2022-09-16 12:16:28.794092
28,Curve DAO Token-CRV,$1.06,-0.49%,$218.0m,$55.6m,+3.41%,0.25%,0.26,+0.0277%,-0.0031%,$384.6k,2022-09-16 12:16:28.794092
29,1000SHIB-1000SHIB,$0.0117,-3.20%,$206.0m,$41.4m,+0.56%,0.18%,0.20,+0.0054%,+0.0100%,$299.6k,2022-09-16 12:16:28.794092
30,Reef-REEF,$0.0049,-2.02%,$160.5m,$18.5m,-22.60%,0.08%,0.12,-0.0914%,-0.1379%,$193.4k,2022-09-16 12:16:28.794092
31,Axie Infinity-AXS,$12.75,-2.62%,$153.0m,$79.5m,+2.35%,0.35%,0.52,-0.0444%,-0.0391%,$895.7k,2022-09-16 12:16:28.794092
32,The Sandbox-SAND,$0.8692,-1.58%,$149.8m,$67.6m,+4.27%,0.30%,0.45,-0.0038%,+0.0110%,$322.3k,2022-09-16 12:16:28.794092
33,Tellor-TRB,$16.07,-4.33%,$146.2m,$27.7m,-7.67%,0.12%,0.19,-0.0059%,-0.0373%,$294.3k,2022-09-16 12:16:28.794092
34,Ethereum Name Service-ENS,$15.14,+3.83%,$139.3m,$29.0m,+26.75%,0.13%,0.21,+0.0033%,+0.0078%,$77.5k,2022-09-16 12:16:28.794092
35,Helium-HNT,$4.06,-0.17%,$139.1m,$21.7m,-2.14%,0.10%,0.16,-0.0025%,-0.0028%,$276.3k,2022-09-16 12:16:28.794092
36,Compound-COMP,$56.16,+3.14%,$134.3m,$29.7m,+8.85%,0.13%,0.22,-0.0167%,-0.0212%,$274.7k,2022-09-16 12:16:28.794092
37,Celsius-CEL,$1.70,-10.77%,$132.8m,$18.7m,-30.53%,0.08%,0.14,+0.2786%,-0.2184%,$804.7k,2022-09-16 12:16:28.794092
38,Aave-AAVE,$80.01,-1.80%,$116.5m,$44.8m,+5.49%,0.20%,0.38,-0.0007%,-0.0062%,$261.6k,2022-09-16 12:16:28.794092
39,Fantom-FTM,$0.2438,-0.60%,$94.8m,$43.5m,+0.48%,0.19%,0.46,+0.0061%,+0.0076%,$65.2k,2022-09-16 12:16:28.794092
40,Uniswap-UNI,$5.85,-3.78%,$94.4m,$44.7m,+1.62%,0.20%,0.47,-0.0139%,-0.0105%,$150.4k,2022-09-16 12:16:28.794092
41,Decentraland-MANA,$0.7390,+0.83%,$87.9m,$39.7m,+2.70%,0.18%,0.45,+0.0045%,+0.0055%,$249.0k,2022-09-16 12:16:28.794092
42,FOOTBALL-FOOTBALL,$986.38,+3.68%,$86.8m,$8.8m,+37.11%,0.04%,0.10,+0.0100%,+0.0590%,$156.9k,2022-09-16 12:16:28.794092
43,Unifi Protocol DAO-UNFI,$7.03,-0.46%,$86.0m,$16.9m,+0.65%,0.08%,0.20,+0.0100%,+0.0100%,$73.8k,2022-09-16 12:16:28.794092
44,Tron-TRX,$0.0614,-0.31%,$85.9m,$131.1m,-3.89%,0.58%,1.53,-0.0184%,-0.0044%,$41.4k,2022-09-16 12:16:28.794092
45,Waves-WAVES,$4.28,-1.19%,$81.7m,$46.9m,-1.82%,0.21%,0.57,+0.0057%,+0.0035%,$222.0k,2022-09-16 12:16:28.794092
46,dYdX-DYDX,$1.34,-2.28%,$72.7m,$32.8m,-0.68%,0.15%,0.45,+0.0032%,+0.0058%,$170.5k,2022-09-16 12:16:28.794092
47,Stargate Finance-STG,$0.5665,-3.31%,$67.7m,$12.5m,-4.17%,0.06%,0.18,+0.0064%,+0.0053%,$140.3k,2022-09-16 12:16:28.794092
48,yearn.finance-YFI,"$8,772.74",-1.53%,$67.3m,$29.8m,+0.78%,0.13%,0.44,-0.0267%,-0.0337%,$195.7k,2022-09-16 12:16:28.794092
49,THORChain-RUNE,$1.73,-1.05%,$66.8m,$21.6m,+1.43%,0.10%,0.32,+0.0076%,+0.0073%,$118.7k,2022-09-16 12:16:28.794092
50,Gala-GALA,$0.0476,-0.62%,$66.4m,$33.8m,+2.54%,0.15%,0.51,+0.0035%,+0.0082%,$165.9k,2022-09-16 12:16:28.794092
51,ConstitutionDAO-PEOPLE,$0.0200,+0.32%,$60.5m,$24.7m,+5.62%,0.11%,0.41,+0.0124%,-0.0035%,$69.0k,2022-09-16 12:16:28.794092
52,SHIBA INU-SHIB,$0.0000,-2.76%,$59.7m,$21.0m,-0.37%,0.09%,0.35,+0.0105%,+0.0055%,$304.2k,2022-09-16 12:16:28.794092
53,THETA-THETA,$1.09,-1.10%,$57.4m,$21.4m,-0.12%,0.09%,0.37,+0.0080%,+0.0007%,$30.6k,2022-09-16 12:16:28.794092
54,Lido DAO Token-LDO,$1.77,-6.39%,$56.2m,$17.7m,-11.18%,0.08%,0.32,-0.0548%,-0.0557%,$221.5k,2022-09-16 12:16:28.794092
55,1inch-1INCH,$0.6105,+0.35%,$55.5m,$23.8m,+10.76%,0.11%,0.43,-0.0085%,-0.0223%,$80.9k,2022-09-16 12:16:28.794092
56,Monero-XMR,$147.43,-0.93%,$53.0m,$40.2m,-0.51%,0.18%,0.76,+0.0131%,-0.0044%,$93.3k,2022-09-16 12:16:28.794092
57,SushiSwap-SUSHI,$1.14,-1.11%,$49.7m,$26.1m,-2.04%,0.12%,0.53,+0.0055%,-0.0058%,$119.2k,2022-09-16 12:16:28.794092
58,Algorand-ALGO,$0.2987,+0.50%,$47.6m,$29.0m,+1.56%,0.13%,0.61,+0.0062%,+0.0108%,$22.9k,2022-09-16 12:16:28.794092
59,Synthetix Network Token-SNX,$2.64,-1.14%,$43.6m,$28.4m,-0.92%,0.13%,0.65,-0.0408%,-0.0263%,$71.8k,2022-09-16 12:16:28.794092
60,Tezos-XTZ,$1.54,-1.07%,$42.4m,$27.0m,-2.70%,0.12%,0.64,-0.0147%,-0.0267%,$81.2k,2022-09-16 12:16:28.794092
61,NEO-NEO,$8.96,-0.89%,$42.4m,$13.8m,+4.10%,0.06%,0.33,+0.0016%,-0.0139%,$27.0k,2022-09-16 12:16:28.794092
62,ZCash-ZEC,$58.47,-3.86%,$42.1m,$20.8m,+0.05%,0.09%,0.49,-0.0136%,+0.0324%,$112.5k,2022-09-16 12:16:28.794092
63,The Graph-GRT,$0.1079,-3.46%,$40.9m,$22.8m,-2.77%,0.10%,0.56,+0.0125%,+0.0048%,$133.2k,2022-09-16 12:16:28.794092
64,BinaryX-BNX,$161.55,+0.07%,$40.3m,$41.3m,+5.82%,0.18%,1.03,+0.0100%,+0.0100%,$74.9k,2022-09-16 12:16:28.794092
65,Tether-USDT,$1.0000,+0.00%,$37.0m,$302.7m,+31.21%,1.34%,8.17,+0.0003%,+0.0004%,$750.0,2022-09-16 12:16:28.794092
66,iExec RLC-RLC,$1.26,+1.57%,$36.2m,$6.1m,-1.50%,0.03%,0.17,-0.0044%,-0.0330%,$43.1k,2022-09-16 12:16:28.794092
67,Bluzelle-BLZ,$0.0817,-0.64%,$36.1m,$5.5m,+4.83%,0.02%,0.15,+0.0100%,+0.0044%,$93.5k,2022-09-16 12:16:28.794092
68,Kava-KAVA,$1.54,-1.03%,$34.4m,$10.8m,+8.73%,0.05%,0.31,+0.0051%,+0.0012%,$45.3k,2022-09-16 12:16:28.794092
69,Stellar Lumens-XLM,$0.1035,-0.33%,$33.2m,$36.1m,-0.54%,0.16%,1.09,+0.0068%,-0.0059%,$72.6k,2022-09-16 12:16:28.794092
70,Flow (Dapper labs)-FLOW,$1.78,-2.64%,$33.0m,$22.1m,+2.83%,0.10%,0.67,-0.0073%,-0.0086%,$220.7k,2022-09-16 12:16:28.794092
71,FTX Token-FTT,$24.27,-2.14%,$32.2m,$66.9m,-0.21%,0.30%,2.08,+0.0072%,+0.0000%,$109.6k,2022-09-16 12:16:28.794092
72,Jasmy-JASMY,$0.0084,-0.94%,$32.1m,$16.2m,+5.28%,0.07%,0.50,+0.0081%,+0.0081%,$25.5k,2022-09-16 12:16:28.794092
73,Kusama-KSM,$44.17,-4.56%,$31.4m,$16.3m,+10.55%,0.07%,0.52,-0.0056%,-0.0011%,$199.6k,2022-09-16 12:16:28.794092
74,Metal-MTL,$1.17,+2.20%,$30.9m,$7.8m,+39.17%,0.03%,0.25,-0.0290%,-0.0576%,$58.9k,2022-09-16 12:16:28.794092
75,Elrond-EGLD,$49.02,-0.98%,$30.8m,$15.4m,+1.36%,0.07%,0.50,+0.0098%,-0.0026%,$52.3k,2022-09-16 12:16:28.794092
76,Project Galaxy-GAL,$2.56,-1.98%,$30.6m,$13.2m,+2.44%,0.06%,0.43,+0.0081%,+0.0088%,$51.9k,2022-09-16 12:16:28.794092
77,VeChain-VET,$0.0235,-0.82%,$30.5m,$16.2m,+2.83%,0.07%,0.53,-0.0254%,-0.0066%,$29.6k,2022-09-16 12:16:28.794092
78,Coin98-C98,$0.4057,+1.74%,$30.2m,$13.0m,+10.11%,0.06%,0.43,-0.0175%,-0.0063%,$29.7k,2022-09-16 12:16:28.794092
79,Flamingo-FLM,$0.1059,-1.60%,$28.6m,$17.0m,-1.60%,0.08%,0.60,-0.0588%,-0.0859%,$33.3k,2022-09-16 12:16:28.794092
80,1000XEC-1000XEC,$0.0424,-2.96%,$28.6m,$4.5m,-14.41%,0.02%,0.16,+0.0069%,+0.0075%,$65.2k,2022-09-16 12:16:28.794092
81,Enjin Coin-ENJ,$0.4964,-0.53%,$27.7m,$13.4m,-1.03%,0.06%,0.48,-0.0052%,-0.0097%,$88.1k,2022-09-16 12:16:28.794092
82,Zilliqa-ZIL,$0.0340,-1.04%,$27.5m,$21.4m,+1.44%,0.09%,0.78,+0.0030%,+0.0031%,$33.3k,2022-09-16 12:16:28.794092
83,Oasis Network-ROSE,$0.0603,+0.43%,$26.7m,$11.8m,+3.39%,0.05%,0.44,+0.0016%,-0.0055%,$13.6k,2022-09-16 12:16:28.794092
84,Storj-STORJ,$0.5047,-0.38%,$26.1m,$10.4m,+9.90%,0.05%,0.40,-0.0175%,-0.0055%,$48.8k,2022-09-16 12:16:28.794092
85,BitDAO-BIT,$0.5291,-0.52%,$26.1m,$22.3m,+1.20%,0.10%,0.85,+0.0063%,+0.0055%,$108.1k,2022-09-16 12:16:28.794092
86,Dash-DASH,$44.26,-0.34%,$25.0m,$13.6m,+2.49%,0.06%,0.54,+0.0225%,+0.0074%,$38.8k,2022-09-16 12:16:28.794092
87,Balancer-BAL,$5.96,-6.84%,$24.8m,$11.0m,-2.82%,0.05%,0.44,-0.0054%,-0.0151%,$112.2k,2022-09-16 12:16:28.794092
88,Loopring-LRC,$0.3251,-2.48%,$24.8m,$13.1m,-3.72%,0.06%,0.53,-0.0076%,-0.0037%,$120.4k,2022-09-16 12:16:28.794092
89,NEM-XEM,$0.0417,-0.95%,$23.0m,$7.6m,-3.61%,0.03%,0.33,-0.0287%,+0.0113%,$15.3k,2022-09-16 12:16:28.794092
90,Audius-AUDIO,$0.2456,-1.77%,$22.3m,$7.0m,-2.53%,0.03%,0.32,+0.0076%,+0.0059%,$42.0k,2022-09-16 12:16:28.794092
91,Litentry-LIT,$0.6620,-1.12%,$22.1m,$4.9m,+0.47%,0.02%,0.22,+0.0100%,+0.0100%,$14.4k,2022-09-16 12:16:28.794092
92,Binance BTCDOM Index-BTCDOM,"$1,240.20",+3.72%,$22.0m,$10.2m,-3.17%,0.05%,0.46,+0.0405%,+0.0100%,$3.4k,2022-09-16 12:16:28.794092
93,Serum-SRM,$0.7849,-2.36%,$22.0m,$22.4m,-3.06%,0.10%,1.02,+0.0109%,+0.0010%,$63.1k,2022-09-16 12:16:28.794092
94,StormX-STMX,$0.0077,+2.28%,$21.9m,$5.0m,+45.27%,0.02%,0.23,-0.3843%,-0.4546%,$40.4k,2022-09-16 12:16:28.794092
95,Reserve Rights-RSR,$0.0059,+1.19%,$21.5m,$13.2m,+4.99%,0.06%,0.62,+0.0085%,+0.0070%,$45.4k,2022-09-16 12:16:28.794092
96,Harmony-ONE,$0.0203,-1.63%,$21.4m,$13.4m,-3.13%,0.06%,0.63,+0.0063%,+0.0031%,$24.1k,2022-09-16 12:16:28.794092
97,Ankr-ANKR,$0.0337,+0.39%,$21.0m,$12.0m,+5.68%,0.05%,0.57,-0.0077%,-0.0162%,$88.3k,2022-09-16 12:16:28.794092
98,API3-API3,$1.56,-2.74%,$20.9m,$5.2m,-2.62%,0.02%,0.25,+0.0001%,-0.0140%,$37.0k,2022-09-16 12:16:28.794092
99,Hedera-HBAR,$0.0613,-1.73%,$20.9m,$9.1m,-6.50%,0.04%,0.43,+0.0074%,+0.0077%,$46.1k,2022-09-16 12:16:28.794092
100,Bitcoin SV-BSV,$52.08,-0.37%,$20.8m,$45.6m,+40.20%,0.20%,2.20,-0.0161%,-0.0214%,$1.3k,2022-09-16 12:16:28.794092
101,Arweave-AR,$9.91,+2.53%,$20.3m,$12.1m,+12.56%,0.05%,0.59,+0.0076%,+0.0064%,$19.2k,2022-09-16 12:16:28.794092
102,MyNeighborAlice-ALICE,$1.99,+0.27%,$20.2m,$10.3m,-0.73%,0.05%,0.51,-0.0048%,-0.0156%,$78.3k,2022-09-16 12:16:28.794092
103,Internet Computer-ICP,$6.14,-0.67%,$19.9m,$12.7m,-1.89%,0.06%,0.64,+0.0015%,+0.0024%,$35.1k,2022-09-16 12:16:28.794092
104,Maker-MKR,$670.01,-3.13%,$19.7m,$14.7m,+3.13%,0.07%,0.75,-0.0054%,-0.0093%,$93.5k,2022-09-16 12:16:28.794092
105,OmiseGO-OMG,$1.74,-2.66%,$19.5m,$11.4m,-6.59%,0.05%,0.58,-0.0015%,-0.0164%,$31.6k,2022-09-16 12:16:28.794092
106,Bella Protocol-BEL,$0.5838,-4.44%,$19.3m,$3.8m,+2.71%,0.02%,0.19,-0.0087%,-0.0145%,$93.4k,2022-09-16 12:16:28.794092
107,Iota-IOTA,$0.2624,-1.62%,$19.0m,$9.6m,+1.44%,0.04%,0.51,+0.0135%,+0.0016%,$42.4k,2022-09-16 12:16:28.794092
108,Injective Protocol-INJ,$1.69,+1.19%,$18.2m,$3.6m,+4.79%,0.02%,0.20,+0.0075%,+0.0100%,$52.2k,2022-09-16 12:16:28.794092
